Infinity,1,Infinity,0,Infinity,1,Infinity
58.20454,11,640.2499,0,50.96635,14,713.5289
58.25587,10,582.5587,0,50.13977,14,701.9568
57.21853,11,629.4038,0,48.71973,15,730.796
58.01657,11,638.1823,0,46.75261,15,701.2892
58.01657,11,638.1823,0,47.42537,13,616.5298
58.29291,11,641.222,0,47.86108,14,670.0551
58.29291,11,641.222,0,49.59098,14,694.2737
57.7872,10,577.8721,0,49.39982,14,691.5975
57.32778,10,573.2778,0,50.64148,15,759.6222
57.32778,10,573.2778,0,49.66455,15,744.9683
57.32778,10,573.2778,0,51.75692,14,724.5969
57.72402,11,634.9642,0,51.174,13,665.262
57.72402,11,634.9642,0,52.58551,12,631.0261
57.72402,11,634.9642,0,53.35537,12,640.2644
57.09175,11,628.0092,0,48.544,13,631.072
57.09175,11,628.0092,0,47.29216,13,614.7982
57.09175,11,628.0092,0,48.87082,13,635.3207
56.34246,12,676.1095,0,50.00403,12,600.0483
56.34246,12,676.1095,0,49.52536,12,594.3043
56.34246,12,676.1095,0,50.04993,12,600.5991
55.3092,13,719.0197,0,48.64148,13,632.3393
55.3092,13,719.0197,0,51.18134,13,665.3574
55.89756,12,670.7708,0,49.43136,13,642.6077
55.49219,13,721.3984,0,47.38661,14,663.4126
55.49219,13,721.3984,0,52.42719,14,733.9806
55.49219,13,721.3984,0,52.57336,13,683.4537
56.2919,13,731.7947,0,50.43934,13,655.7114
56.04133,12,672.496,0,48.56518,13,631.3474
56.04133,12,672.496,0,50.54515,13,657.087
55.66093,13,723.5922,0,50.36544,14,705.1162
55.66093,13,723.5922,0,49.41145,14,691.7603
57.60961,11,633.7057,0,49.7634,14,696.6876
56.53398,12,678.4078,0,50.6108,14,708.5511
56.53398,12,678.4078,0,50.07473,14,701.0463
56.53398,12,678.4078,0,50.34135,14,704.7789
55.36583,12,664.39,0,51.11106,15,766.666
55.02288,11,605.2517,0,53.5015,13,695.5194
55.84958,10,558.4957,0,52.96503,12,635.5804
55.14821,11,606.6303,0,52.04078,13,676.5302
55.14821,11,606.6303,0,52.05151,13,676.6696
55.14821,11,606.6303,0,52.44287,12,629.3145
53.40248,11,587.4272,0,51.34306,13,667.4598
53.40248,11,587.4272,0,50.92381,13,662.0095
53.40248,11,587.4272,0,50.00917,13,650.1191
53.08884,11,583.9772,0,52.38045,12,628.5654
53.08884,11,583.9772,0,51.9959,11,571.955
48.71985,12,584.6382,0,48.15531,12,577.8637
53.2926,12,639.5112,0,52.39728,12,628.7674
53.2926,12,639.5112,0,52.41761,12,629.0114
49.84778,13,648.0212,0,47.23947,13,614.1131
53.58367,13,696.5877,0,48.73448,13,633.5483
53.96473,12,647.5767,0,51.4515,13,668.8694
51.24058,13,666.1276,0,46.68979,14,653.657
53.30898,13,693.0167,0,49.6665,14,695.3309
53.71438,12,644.5726,0,48.71911,14,682.0676
51.13391,13,664.7408,0,49.38888,15,740.8332
53.2666,13,692.4658,0,53.29161,13,692.791
53.09488,13,690.2334,0,52.69596,11,579.6556
51.03658,12,612.4389,0,49.8652,12,598.3823
53.19989,12,638.3987,0,50.01822,12,600.2186
52.62073,12,631.4487,0,51.01991,12,612.239
54.58967,12,655.076,0,49.42289,13,642.4975
54.58967,12,655.076,0,51.32139,13,667.1781
54.08032,12,648.9638,0,50.46148,13,655.9992
53.98283,12,647.7939,0,52.03473,14,728.4861
54.10858,12,649.303,0,52.67472,14,737.4461
54.02348,12,648.2818,0,53.20081,14,744.8114
54.27272,13,705.5453,0,51.17194,15,767.5791
54.94621,13,714.3008,0,50.96704,15,764.5057
54.94621,13,714.3008,0,54.18707,12,650.2449
54.20019,14,758.8026,0,53.56123,13,696.296
55.85567,13,726.1237,0,53.16972,13,691.2064
53.20877,13,691.7141,0,54.5576,13,709.2488
52.1943,14,730.7202,0,52.27855,13,679.6212
54.85014,14,767.9019,0,52.8195,13,686.6536
55.33205,13,719.3167,0,51.15,13,664.95
56.62476,14,792.7466,0,50.67999,13,658.8398
56.53647,13,734.9741,0,52.4908,13,682.3804
56.76469,13,737.941,0,55.95808,13,727.455
56.91803,14,796.8524,0,54.5268,14,763.3752
57.94767,14,811.2673,0,53.69371,14,751.7119
57.96407,12,695.5688,0,50.65145,14,709.1202
60.78725,11,668.6597,0,52.41718,15,786.2576
60.78725,11,668.6597,0,50.40711,15,756.1066
60.78725,11,668.6597,0,57.41667,13,746.4167
59.71628,12,716.5954,0,55.91567,11,615.0723
59.71628,12,716.5954,0,56.42932,11,620.7225
59.71628,12,716.5954,0,56.94297,11,626.3727
58.60105,13,761.8136,0,56.07217,12,672.866
58.60105,13,761.8136,0,54.42532,12,653.1038
58.60105,13,761.8136,0,56.02029,12,672.2435
57.82947,13,751.7831,0,56.36779,13,732.7813
